location,ref_date,num_theatres,num_seats,total_operating_revenue,total_operating_expenses,average_ticket_prices
Ontario,1996/1997,189,182121,233615,208588,5.13
Ontario,1997/1998,192,196078,258046,227034,5.38
Ontario,1998/1999,184,212140,311490,287096,5.70
Ontario,1999/2000,200,263030,359732,355712,6.14
Ontario,2000/2001,211,282015,397633,425364,6.78
Ontario,2001/2002,,,,,
Ontario,2002/2003,163,239746,485707,461257,8.06
Ontario,2003/2004,159,235949,477701,457037,8.21
Ontario,2004/2005,163,219510,472592,427654,8.17
Quebec,1996/1997,107,102554,126607,119391,5.08
Quebec,1997/1998,119,117177,149722,138322,5.42
Quebec,1998/1999,116,125371,179839,169438,5.47
Quebec,1999/2000,129,143020,201677,193053,5.66
Quebec,2000/2001,130,162142,208768,220125,6.16
Quebec,2001/2002,,,,,
Quebec,2002/2003,118,154582,255299,268432,6.81
Quebec,2003/2004,115,153848,251890,269607,6.83
Quebec,2004/2005,120,156209,257931,264747,6.83
British Columbia,1996/1997,89,71934,104321,91704,5.09
British Columbia,1997/1998,94,78316,114456,98396,5.44
British Columbia,1998/1999,105,95312,132862,120099,5.94
British Columbia,1999/2000,106,101158,142917,143396,6.21
British Columbia,2000/2001,113,114042,159603,162570,6.59
British Columbia,2001/2002,,,,,
British Columbia,2002/2003,97,,177963,,
British Columbia,2003/2004,98,,177401,,
British Columbia,2004/2005,98,,182537,,
Alberta,1996/1997,79,,76287,,
Alberta,1997/1998,81,,93320,,
Alberta,1998/1999,86,,107628,,
Alberta,1999/2000,88,,118213,,
Alberta,2000/2001,87,,127416,,
Alberta,2001/2002,,,,,
Alberta,2002/2003,77,,162397,,
Alberta,2003/2004,77,,159805,,
Alberta,2004/2005,75,,170883,,
Saskatchewan,1996/1997,37,17163,12914,11267,4.86
Saskatchewan,1997/1998,39,20691,16683,14032,4.82
Saskatchewan,1998/1999,38,22737,20987,18005,4.04
Saskatchewan,1999/2000,40,22949,23458,20250,4.00
Saskatchewan,2000/2001,46,23792,22159,19497,4.12
Saskatchewan,2001/2002,,,,,
Saskatchewan,2002/2003,44,21999,27183,22588,5.03
Saskatchewan,2003/2004,40,22842,27163,23403,5.42
Saskatchewan,2004/2005,37,21029,30491,24729,5.83
Manitoba,1996/1997,28,17132,18699,17003,4.28
Manitoba,1997/1998,29,16975,20598,18002,4.31
Manitoba,1998/1999,31,22059,24153,22209,4.30
Manitoba,1999/2000,29,25008,30692,28841,4.96
Manitoba,2000/2001,35,26217,31321,34918,5.33
Manitoba,2001/2002,,,,,
Manitoba,2002/2003,34,23142,38948,36496,5.53
Manitoba,2003/2004,32,24008,38781,36133,5.77
Manitoba,2004/2005,36,24198,39366,35793,5.80
